country_name,region_code,region_name,year,k_passengers
Austria,AT12,Niederösterreich,2008,19687
Austria,AT21,Kärnten,2008,430
Austria,AT22,Steiermark,2008,982
Austria,AT31,Oberösterreich,2008,757
Austria,AT32,Salzburg,2008,1784
Austria,AT33,Tirol,2008,953
Belgium,BE21,Prov. (2) Antwerpen,2008,129
Belgium,BE24,Prov. Vlaams-Brabant,2008,18369
Belgium,BE25,Prov. West-Vlaanderen,2008,164
Belgium,BE32,Prov. Hainaut,2008,2942
Belgium,BE33,Prov. Liège,2008,395
Bulgaria,BG33,Североизточен,2008,1430
Bulgaria,BG34,Югоизточен,2008,1920
Bulgaria,BG41,Югозападен,2008,3205
,CH01,,2008,11322
,CH02,,2008,92
,CH04,,2008,22074
,CH05,,2008,91
,CH07,,2008,180
Cyprus,CY00,Κύπρος,2008,7218
Czechia,CZ01,Praha,2008,12587
Czechia,CZ04,Severozápad,2008,76
Czechia,CZ05,Severovýchod,2008,-
Czechia,CZ06,Jihovýchod,2008,455
Czechia,CZ08,Moravskoslezsko,2008,311
Germany,DE11,Stuttgart,2008,9874
Germany,DE12,Karlsruhe,2008,1199
Germany,DE13,Freiburg,2008,0
Germany,DE14,Tübingen,2008,618
Germany,DE21,Oberbayern,2008,34400
Germany,DE22,Niederbayern,2008,0
Germany,DE24,Oberfranken,2008,20
Germany,DE25,Mittelfranken,2008,4229
Germany,DE27,Schwaben,2008,460
Germany,DE30,Berlin,2008,14713
Germany,DE40,Brandenburg,2008,6615
Germany,DE50,Bremen,2008,2477
Germany,DE60,Hamburg,2008,12782
Germany,DE71,Darmstadt,2008,53189
Germany,DE73,Kassel,2008,0
Germany,DE80,Mecklenburg-Vorpommern,2008,160
Germany,DE91,Braunschweig,2008,1
Germany,DE92,Hannover,2008,5569
Germany,DE94,Weser-Ems,2008,1
Germany,DEA1,Düsseldorf,2008,19623
Germany,DEA2,Köln,2008,10296
Germany,DEA3,Münster,2008,1520
Germany,DEA4,Detmold,2008,1116
Germany,DEA5,Arnsberg,2008,2297
Germany,DEB1,Koblenz,2008,3885
Germany,DEB2,Trier,2008,0
Germany,DEB3,Rheinhessen-Pfalz,2008,305
Germany,DEC0,Saarland,2008,447
Germany,DED2,Dresden,2008,1820
Germany,DED5,Leipzig,2008,1980
Germany,DEE0,Sachsen-Anhalt,2008,0
Germany,DEF0,Schleswig-Holstein,2008,656
Germany,DEG0,Thüringen,2008,298
Germany,DEZZ,Extra-Regio NUTS 2,2008,15
Denmark,DK01,Hovedstaden,2008,21694
Denmark,DK02,Sjælland,2008,11
Denmark,DK03,Syddanmark,2008,2665
Denmark,DK04,Midtjylland,2008,772
Denmark,DK05,Nordjylland,2008,1043
Estonia,EE00,Eesti,2008,1804
Greece,EL30,Αττική,2008,16453
Greece,EL41,Βόρειο Αιγαίο,2008,1465
Greece,EL42,Νότιο Αιγαίο,2008,6731
Greece,EL43,Κρήτη,2008,7406
Greece,EL51,"Ανατολική Μακεδονία, Θράκη",2008,641
Greece,EL52,Κεντρική Μακεδονία,2008,4358
Greece,EL53,Δυτική Μακεδονία,2008,9
Greece,EL54,Ήπειρος,2008,131
Greece,EL61,Θεσσαλία,2008,295
Greece,EL62,Ιόνια Νησιά,2008,3373
Greece,EL63,Δυτική Ελλάδα,2008,454
Greece,EL64,Στερεά Ελλάδα,2008,13
Greece,EL65,Πελοπόννησος,2008,81
Spain,ES11,Galicia,2008,4311
Spain,ES12,Principado de Asturias,2008,1524
Spain,ES13,Cantabria,2008,857
Spain,ES21,País Vasco,2008,4613
Spain,ES22,Comunidad Foral de Navarra,2008,426
Spain,ES24,Aragón,2008,596
Spain,ES30,Comunidad de Madrid,2008,50366
Spain,ES41,Castilla y León,2008,470
Spain,ES51,Cataluña,2008,37117
Spain,ES52,Comunidad Valenciana,2008,15323
Spain,ES53,Illes Balears,2008,29343
Spain,ES61,Andalucía,2008,20752
Spain,ES62,Región de Murcia,2008,1879
Spain,ES64,Ciudad Autónoma de Melilla,2008,305
Spain,ES70,Canarias,2008,29808
Finland,FI19,Länsi-Suomi,2008,1382
Finland,FI1B,Helsinki-Uusimaa,2008,13435
Finland,FI1C,Etelä-Suomi,2008,341
Finland,FI1D,Pohjois- ja Itä-Suomi,2008,2359
Finland,FI20,Åland,2008,62
Finland,FIZZ,Extra-Regio NUTS 2,2008,0
