date,dead,injured,lon,lat
2018-01-03,0,1,18.175741,59.17177
2018-01-04,0,1,17.008948,58.762959
2018-01-04,0,0,18.129283,59.276246
2018-01-05,0,0,17.872691,59.252511
2018-01-05,0,0,21.700909,65.829143
2018-01-06,0,1,11.932739,57.695974
2018-01-07,0,0,17.95912,59.217325
2018-01-08,1,0,17.930092,59.389612
2018-01-09,1,0,13.047911,56.709038
2018-01-11,0,0,17.853656,59.192726
2018-01-12,0,0,12.942149,55.586666
2018-01-12,1,0,12.717701,56.03478
2018-01-12,0,1,17.588588,59.853238
2018-01-13,0,0,11.911262,57.711629
2018-01-14,1,0,12.999776,55.576834
2018-01-15,1,0,17.939476,59.375922
2018-01-17,0,1,12.525593,57.936302
2018-01-17,0,0,17.807376,59.247647
2018-01-19,0,0,12.987692,55.564953
2018-01-19,0,1,18.085422,59.334807
2018-01-23,0,0,12.977261,55.582756
2018-01-23,0,1,17.590512,59.209919
2018-01-28,0,0,12.13929,57.652282
2018-01-30,1,0,11.943685,57.665679
2018-02-02,1,0,13.019386,55.565469
2018-02-04,0,0,17.582361,59.194807
2018-02-08,0,0,18.000408,59.288268
2018-02-09,0,0,17.926576,59.389691
2018-02-10,0,1,17.141945,60.679531
2018-02-12,0,0,13.158241,55.377102
2018-02-12,0,1,12.731057,56.026039
2018-02-13,0,0,17.899359,59.380415
2018-02-22,0,0,17.591989,59.206296
2018-02-26,0,0,11.974159,57.803027
2018-02-26,1,0,16.766701,60.614957
2018-02-27,0,0,11.893273,57.72557
2018-02-28,0,0,18.031959,59.287536
2018-03-02,0,0,17.58883,59.210851
2018-03-05,0,1,13.103419,55.795972
2018-03-05,0,1,13.103419,55.795972
2018-03-06,0,0,17.945515,59.425208
2018-03-07,0,1,11.949567,57.695482
2018-03-07,0,0,18.060225,59.347982
2018-03-07,0,0,22.095152,65.576838
2018-03-08,0,0,18.104119,59.346943
2018-03-10,0,1,17.945326,59.402748
2018-03-12,0,1,17.825177,59.610269
2018-03-13,0,0,18.104119,59.346943
2018-03-16,0,0,17.907841,59.376632
2018-03-17,0,1,17.911137,59.39453
2018-03-18,0,1,16.533712,59.628157
2018-03-19,0,0,15.191392,59.300237
2018-03-26,0,0,13.037551,55.582838
2018-03-26,0,1,13.035831,55.585506
2018-03-27,0,0,17.655998,59.875784
2018-03-29,0,0,13.037551,55.582838
