id,name,age_group,pop_2022
0114,Upplands Väsby,0-4 years,3015
0114,Upplands Väsby,5-9 years,3360
0114,Upplands Väsby,10-14 years,3073
0114,Upplands Väsby,15-19 years,2941
0114,Upplands Väsby,20-24 years,2617
0114,Upplands Väsby,25-29 years,3033
0114,Upplands Väsby,30-34 years,3706
0114,Upplands Väsby,35-39 years,3843
0114,Upplands Väsby,40-44 years,3585
0114,Upplands Väsby,45-49 years,3370
0114,Upplands Väsby,50-54 years,3285
0114,Upplands Väsby,55-59 years,3077
0114,Upplands Väsby,60-64 years,2309
0114,Upplands Väsby,65-69 years,1922
0114,Upplands Väsby,70-74 years,1964
0114,Upplands Väsby,75-79 years,1967
0114,Upplands Väsby,80-84 years,1271
0114,Upplands Väsby,85-89 years,609
0114,Upplands Väsby,90-94 years,249
0114,Upplands Väsby,95-99 years,57
0114,Upplands Väsby,100+ years,9
0115,Vallentuna,0-4 years,1928
0115,Vallentuna,5-9 years,2462
0115,Vallentuna,10-14 years,2685
0115,Vallentuna,15-19 years,2449
0115,Vallentuna,20-24 years,1632
0115,Vallentuna,25-29 years,1567
0115,Vallentuna,30-34 years,2187
0115,Vallentuna,35-39 years,2275
0115,Vallentuna,40-44 years,2533
0115,Vallentuna,45-49 years,2760
0115,Vallentuna,50-54 years,2581
0115,Vallentuna,55-59 years,2387
0115,Vallentuna,60-64 years,1783
0115,Vallentuna,65-69 years,1387
0115,Vallentuna,70-74 years,1286
0115,Vallentuna,75-79 years,1360
0115,Vallentuna,80-84 years,909
0115,Vallentuna,85-89 years,450
0115,Vallentuna,90-94 years,178
0115,Vallentuna,95-99 years,48
0115,Vallentuna,100+ years,4
0117,Österåker,0-4 years,2963
0117,Österåker,5-9 years,3238
0117,Österåker,10-14 years,3290
0117,Österåker,15-19 years,3428
0117,Österåker,20-24 years,2205
0117,Österåker,25-29 years,2209
0117,Österåker,30-34 years,3097
0117,Österåker,35-39 years,3291
0117,Österåker,40-44 years,3240
0117,Österåker,45-49 years,3567
0117,Österåker,50-54 years,3767
0117,Österåker,55-59 years,3455
0117,Österåker,60-64 years,2404
0117,Österåker,65-69 years,2111
0117,Österåker,70-74 years,2167
0117,Österåker,75-79 years,2377
0117,Österåker,80-84 years,1382
0117,Österåker,85-89 years,611
0117,Österåker,90-94 years,257
0117,Österåker,95-99 years,70
0117,Österåker,100+ years,9
0120,Värmdö,0-4 years,2603
0120,Värmdö,5-9 years,3108
0120,Värmdö,10-14 years,3134
0120,Värmdö,15-19 years,3262
0120,Värmdö,20-24 years,2046
0120,Värmdö,25-29 years,1971
0120,Värmdö,30-34 years,2899
0120,Värmdö,35-39 years,2889
0120,Värmdö,40-44 years,3029
0120,Värmdö,45-49 years,3430
0120,Värmdö,50-54 years,3654
0120,Värmdö,55-59 years,3382
0120,Värmdö,60-64 years,2630
0120,Värmdö,65-69 years,2252
0120,Värmdö,70-74 years,2137
0120,Värmdö,75-79 years,2137
0120,Värmdö,80-84 years,1118
0120,Värmdö,85-89 years,496
0120,Värmdö,90-94 years,224
0120,Värmdö,95-99 years,48
0120,Värmdö,100+ years,8
0123,Järfälla,0-4 years,5274
0123,Järfälla,5-9 years,5503
0123,Järfälla,10-14 years,5368
0123,Järfälla,15-19 years,5280
0123,Järfälla,20-24 years,4872
0123,Järfälla,25-29 years,6094
0123,Järfälla,30-34 years,6998
0123,Järfälla,35-39 years,6499
0123,Järfälla,40-44 years,5967
0123,Järfälla,45-49 years,5784
0123,Järfälla,50-54 years,5247
0123,Järfälla,55-59 years,4925
0123,Järfälla,60-64 years,4011
0123,Järfälla,65-69 years,3391
0123,Järfälla,70-74 years,3122
0123,Järfälla,75-79 years,3189
0123,Järfälla,80-84 years,2083
0123,Järfälla,85-89 years,1205
0123,Järfälla,90-94 years,495
0123,Järfälla,95-99 years,142
0123,Järfälla,100+ years,11
0125,Ekerö,0-4 years,1643
0125,Ekerö,5-9 years,2213
0125,Ekerö,10-14 years,2383
0125,Ekerö,15-19 years,2217
0125,Ekerö,20-24 years,1138
0125,Ekerö,25-29 years,835
0125,Ekerö,30-34 years,1358
0125,Ekerö,35-39 years,1810
0125,Ekerö,40-44 years,2060
0125,Ekerö,45-49 years,2355
0125,Ekerö,50-54 years,2292
0125,Ekerö,55-59 years,2033
0125,Ekerö,60-64 years,1660
0125,Ekerö,65-69 years,1230
0125,Ekerö,70-74 years,1155
0125,Ekerö,75-79 years,1333
0125,Ekerö,80-84 years,803
0125,Ekerö,85-89 years,402
0125,Ekerö,90-94 years,164
0125,Ekerö,95-99 years,35
0125,Ekerö,100+ years,4
0126,Huddinge,0-4 years,6755
0126,Huddinge,5-9 years,7899
0126,Huddinge,10-14 years,8239
0126,Huddinge,15-19 years,7686
0126,Huddinge,20-24 years,6458
0126,Huddinge,25-29 years,6908
0126,Huddinge,30-34 years,8321
0126,Huddinge,35-39 years,8585
0126,Huddinge,40-44 years,8625
0126,Huddinge,45-49 years,8474
0126,Huddinge,50-54 years,7761
0126,Huddinge,55-59 years,7269
0126,Huddinge,60-64 years,5544
0126,Huddinge,65-69 years,4403
0126,Huddinge,70-74 years,3803
0126,Huddinge,75-79 years,3721
0126,Huddinge,80-84 years,2195
0126,Huddinge,85-89 years,1186
0126,Huddinge,90-94 years,525
0126,Huddinge,95-99 years,131
0126,Huddinge,100+ years,16
0127,Botkyrka,0-4 years,5651
0127,Botkyrka,5-9 years,6374
0127,Botkyrka,10-14 years,6658
0127,Botkyrka,15-19 years,6215
